id,observed_on,image_url,latitude,longitude,valid_url,picture_info,color_max_x,color_min_x,color_max_y,color_min_y
23013849,2019-04-07,https://inaturalist-open-data.s3.amazonaws.com/photos/35675703/medium.jpeg,29.73582459,-95.75691986,TRUE,,5,0,207,204
23193132,2019-04-26,https://inaturalist-open-data.s3.amazonaws.com/photos/35942487/medium.jpeg,30.42896045,-84.33720318,TRUE,,7,1,258,254
23232153,2019-04-26,https://inaturalist-open-data.s3.amazonaws.com/photos/35998746/medium.jpeg,30.42304385,-84.2514999,TRUE,,17,2,125,116
23029808,2019-04-24,https://static.inaturalist.org/photos/35701036/medium.jpeg,51.05207825,-114.1050797,TRUE,,11,6,166,161
23118956,2019-04-26,https://inaturalist-open-data.s3.amazonaws.com/photos/35839786/medium.jpeg,41.84711424,-87.68091477,TRUE,,19,15,112,109
23056470,2019-04-25,https://inaturalist-open-data.s3.amazonaws.com/photos/35744259/medium.jpeg,44.93644641,-123.0324631,TRUE,,30,22,156,150
23025815,2019-04-24,https://inaturalist-open-data.s3.amazonaws.com/photos/35693987/medium.jpg,42.31948333,-71.0419305,TRUE,,30,24,225,219
23223557,2019-04-26,https://inaturalist-open-data.s3.amazonaws.com/photos/35985585/medium.jpg,38.8730545,-77.01972198,TRUE,,41,26,119,107
23079665,2019-04-25,https://inaturalist-open-data.s3.amazonaws.com/photos/35779640/medium.jpeg,44.9314985,-123.0359481,TRUE,,33,29,179,174
23118457,2019-04-26,https://inaturalist-open-data.s3.amazonaws.com/photos/35839176/medium.jpeg,42.2961194,-71.0919318,TRUE,,36,30,174,167
23231099,2019-04-26,https://inaturalist-open-data.s3.amazonaws.com/photos/35997266/medium.jpg,39.65186333,-76.580575,TRUE,,42,36,105,97
22946900,2019-04-16,https://inaturalist-open-data.s3.amazonaws.com/photos/35569659/medium.jpg,43.9696768,-70.29073748,TRUE,,50,37,92,87
23156223,2019-04-25,https://static.inaturalist.org/photos/35890996/medium.jpg,39.39308667,-76.60578833,TRUE,,45,37,108,101
23034537,2019-04-20,https://static.inaturalist.org/photos/35708650/medium.jpg,33.900095,-84.18334167,TRUE,,45,40,161,157
